Date,Mars Ecliptic Longitude (deg),Sun Ecliptic Longitude (deg),Angular Separation (deg),Visible at Night
2010-07-08,166.78864037698568,105.60177048807834,61.18686988890734,True
2010-07-09,167.36697689483515,106.55548082994834,60.81149606488681,True
2010-07-10,167.9469038531781,107.50927702741022,60.43762682576788,True
2010-07-11,168.5284097222316,108.46315282516679,60.06525689706481,True
2010-07-12,169.11148028615003,109.41709828442589,59.694382001724136,True
2010-07-13,169.69609832742393,110.37110095619566,59.324997371228264,True
2010-07-14,170.28224378967772,111.32514771768028,58.95709607199744,True
2010-07-15,170.86989446858894,112.27922691470899,58.59066755387995,True
2010-07-16,171.45902709091158,113.23333029906976,58.22569679184181,True
2010-07-17,172.04961851168318,114.18745433559972,57.86216417608345,True
2010-07-18,172.64164676294183,115.14160071923415,57.500046043707684,True
2010-07-19,173.2350917980036,116.09577621165006,57.13931558635353,True
2010-07-20,173.82993590773563,117.04999204693863,56.779943860797005,True
2010-07-21,174.42616387177128,118.00426315281403,56.42190071895725,True
2010-07-22,175.02376293346353,118.95860735377923,56.0651555796843,True
2010-07-23,175.62272267320395,119.9130446346423,55.70967803856165,True
2010-07-24,176.2230348272542,120.86759648294343,55.35543834431077,True
2010-07-25,176.82469307581965,121.82228530275778,55.002407773061876,True
2010-07-26,177.42769281113618,122.77713389013314,54.65055892100304,True
2010-07-27,178.03203089302824,123.73216496870074,54.29986592432749,True
2010-07-28,178.63770540157734,124.68740079176209,53.95030460981525,True
2010-07-29,179.24471539951162,125.6428628181004,53.60185258141122,True
2010-07-30,179.85306071718833,126.59857146147681,53.25448925571152,True
2010-07-31,180.46274176905692,127.55454590051119,52.90819586854573,True
2010-08-01,181.0737594025143,128.5108039202951,52.562955482219195,True
2010-08-02,181.68611476929763,129.46736174337886,52.21875302591877,True
2010-08-03,182.29980919737278,130.4242337988018,51.87557539857099,True
2010-08-04,182.91484402909018,131.38143237707084,51.53341165201934,True
2010-08-05,183.53122038164102,132.33896713240438,51.19225324923664,True
2010-08-06,184.14893878390905,133.29684443088954,50.85209435301951,True
2010-08-07,184.76799865955425,134.25506661548485,50.5129320440694,True
2010-08-08,185.3883976721733,135.21363136679278,50.17476630538053,True
2010-08-09,186.01013102966013,136.17253145123777,49.837599578422356,True
2010-08-10,186.63319093947348,137.13175518679878,49.501435752674695,True
2010-08-11,187.25756645354573,138.09128782266464,49.166278630881095,True
2010-08-12,187.88324387042073,139.0511137037699,48.83213016665084,True
2010-08-13,188.51020766755542,140.01121872496242,48.498988942593,True
2010-08-14,189.13844172303897,140.9715924243719,48.166849298667074,True
2010-08-15,189.76793049481455,141.93222924418149,47.835701250633065,True
2010-08-16,190.39865990341173,142.89312886216044,47.50553104125129,True
2010-08-17,191.03061783045467,143.85429581473986,47.17632201571482,True
2010-08-18,191.66379428623932,144.8157387499058,46.84805553633353,True
2010-08-19,192.29818136151673,145.77746959518575,46.520711766330976,True
2010-08-20,192.93377307363357,146.7395028057919,46.19427026784169,True
2010-08-21,193.5705651819013,147.7018547498931,45.868710432008186,True
2010-08-22,194.20855500970148,148.66454322146868,45.54401178823281,True
2010-08-23,194.8477412838933,149.62758704357674,45.22015424031656,True
